React;"React, js, 리액트, 리엑트";FRONTEND
Angular;"Angular, js, 앵귤러, 엥귤러";FRONTEND
Vuejs;"Vue, js, 뷰";FRONTEND
jQuery;"jQuery, 제이쿼리";FRONTEND
Emberjs;"Ember, js, 엠버";FRONTEND
Backbonejs;"Backbone, js, 백본";FRONTEND
Semantic-UI;"Semantic, Ui, 시맨틱, 씨맨틱, 시멘틱, 씨멘틱";FRONTEND
Foundation;"Foundation, 파운데이션";FRONTEND
Svelte;"Svelete, 스벨트, 스밸트";FRONTEND
React-Native;"React, Native, RN, 리액트, 네이티브, 알엔";FRONTEND
Flutter;"Flutter, Dart, 플러터";FRONTEND
Ionic;"Ionic, 아이오닉";FRONTEND
Xamarin;"Xamarin, 자마린";FRONTEND
Android;"Android, 안드로이드";FRONTEND
Swift;"Swift, 스위프트, Ios, 아이오에스";FRONTEND
Laravel;"Laravel, 라라벨, 라라밸";BACKEND
Express;"Express, 익스프레스";BACKEND
Spring;"Spring, 스프링, 스프링부트";BACKEND
Django;"Django, 장고";BACKEND
.NET Core;".NET, Core, ASP, 닷넷, 코어";BACKEND
Ruby on Rails;"Ruby on Rails, ROR, 루비, 레일즈 ";BACKEND
Flask;"Flask, 플라스크";BACKEND
Meteor;"Meteor, js, 미티어";BACKEND
Mithril;"Mithril, js, 미스릴, 미쓰릴";BACKEND
Node.js;"Node, js, 노드";BACKEND
CakePHP;"Cake, php, 케이크";BACKEND
CodeIgniter;"Code, Igniter, php, 코드, 이그나이터";BACKEND
Pheonix;"Pheonix, Elixir, 피닉스";BACKEND
Symfony;"Symfony, php, 심포니";BACKEND
Go;"Go, 고";BACKEND
Zeplin;"Zeplin, zeplin, 제플린";DESIGNER
Figma;"Figma, 피그마";DESIGNER
